Year,Country,Song,Artist,Final_Place,Final_Points,Top 5,Top 10,Running_Order_Final,Grand_Final_Ind,Big6_Ind,Semi_Final_Num,Semi_Place,Semi_Points,Running_Order_Semi,National_Final,Genre,Solo_Artist,Sex,Returning_Artist_Ind,Number of Members,Language1,Language2,Language3,Language4,Language5,Language6,Multiple_Language,National_Language_Used,EU,NATO,Country_Group,MyESB_Community,MyESB_Personal,OGAE_Points,Qualification_Record,jury_points,tele_points,jury_points_sf,tele_points_sf,withdrawn_2026,country_code
2026,Albania,Nan,Alis,,,,,5,1,,2.0,,,13.0,1,,1,M,0,1,Albanian,,,,,,0,True,0,1,Southern,12,1,,0.571428571,,,,,False,ALB
2026,Armenia,Paloma Rumba,Simon,,,,,,0,,2.0,,,6.0,0,,1,M,0,1,English,,,,,,0,False,0,0,South-Eastern,30,19,,0.823529412,,,,,False,ARM
2026,Australia,Eclipse,Delta Goodrem,,,,,8,1,,2.0,,,11.0,0,,1,F,0,1,English,,,,,,0,True,0,0,Western,7,25,,0.7,,,,,False,AUS
2026,Austria,Tanzschein,Cosmo,,,,,25,1,1.0,,,,,1,,1,M,0,1,German,,,,,,0,True,1,0,Central,28,33,,0.588235294,,,,,False,AUT
2026,Azerbaijan,Just Go,Jiva,,,,,,0,,2.0,,,2.0,0,,1,F,0,1,English,Azerbaijani,,,,,1,True,0,0,South-Eastern,35,32,,0.764705882,,,,,False,AZE
2026,Belgium,Dancing on the Ice,Essyla,,,,,4,1,,1.0,,,11.0,0,,1,F,0,1,English,,,,,,0,False,1,1,Western,20,17,,0.428571429,,,,,False,BEL
2026,Bulgaria,Bangaranga,Dara,,,,,12,1,,2.0,,,1.0,1,,1,F,0,1,English,,,,,,0,False,1,1,Eastern,10,35,,0.357142857,,,,,False,BGR
2026,Croatia,Andromeda,Lelek,,,,,13,1,,1.0,,,3.0,1,,0,F,0,5,Croatian,,,,,,0,True,1,1,Southern,8,7,,0.473684211,,,,,False,HRV
2026,Cyprus,Jalla,Antigoni,,,,,21,1,,2.0,,,8.0,0,,1,F,0,1,English,Greek,,,,,1,True,1,0,South-Eastern,5,26,,0.6,,,,,False,CYP
2026,Czech Republic,Crossroads,Daniel Zizka,,,,,11,1,,2.0,,,5.0,0,,1,M,0,1,English,,,,,,0,False,1,1,Central,15,14,,0.384615385,,,,,False,CZE
2026,Denmark,For vi gar hjem,Soren Torpegaard Lund,,,,,1,1,,2.0,,,10.0,1,,1,M,0,1,Danish,,,,,,0,True,1,1,Northern,2,3,,0.619047619,,,,,False,DNK
2026,Estonia,Too Epic To Be True,Vanilla Ninja,,,,,,0,,1.0,,,9.0,1,,0,F,0,3,English,,,,,,0,False,1,1,Northern,32,31,,0.523809524,,,,,False,EST
2026,Finland,Liekinheitin,Linda Lampenius & Pete Parkkonen,,,,,17,1,,1.0,,,7.0,1,,0,Mixed,0,2,Finnish,,,,,,0,True,1,0,Northern,1,6,,0.619047619,,,,,False,FIN
2026,France,Regarde!,Monroe,,,,,15,1,1.0,,,,,0,,1,F,0,1,French,,,,,,0,True,1,1,Western,9,28,,,,,,,False,FRA
2026,Georgia,On Replay,Bzikebi,,,,,,0,,1.0,,,6.0,0,,0,Mixed,0,3,English,,,,,,0,False,0,0,South-Eastern,19,29,,0.470588235,,,,,False,GEO
2026,Germany,Fire,Sarah Engels,,,,,2,1,1.0,,,,,1,,1,F,0,1,English,,,,,,0,False,1,1,Central,24,23,,,,,,,False,DEU
2026,Greece,Ferto,Akylas,,,,,6,1,,1.0,,,4.0,1,,1,M,0,1,Greek,,,,,,0,True,1,1,Southern,4,27,,0.857142857,,,,,False,GRC
2026,Israel,Michelle,No'am Bettan,,,,,3,1,,1.0,,,10.0,1,,1,M,0,1,French,Hebrew,English,,,,1,True,0,0,South-Eastern,22,15,,0.666666667,,,,,False,ISR
2026,Italy,Per sempre si,Sal da Vinci,,,,,22,1,1.0,,,,,1,,1,M,0,1,Italian,,,,,,0,True,1,1,Western,18,8,,,,,,,False,ITA
2026,Latvia,Ena,Atvara,,,,,,0,,2.0,,,9.0,1,,1,F,0,1,Latvian,,,,,,0,True,1,1,Northern,27,21,,0.380952381,,,,,False,LVA
2026,Lithuania,Solo quiero mas,Lion Ceccah,,,,,19,1,,1.0,,,12.0,1,,1,M,0,1,Lithuanian,English,Spanish,French,German,Italian,1,True,1,1,Northern,29,9,,0.666666667,,,,,False,LTU
2026,Luxembourg,Mother Nature,Eva Marija,,,,,,0,,2.0,,,4.0,1,,1,F,0,1,English,,,,,,0,False,1,1,Western,26,10,,1.0,,,,,False,LUX
2026,Malta,Bella,Aidan,,,,,10,1,,2.0,,,14.0,1,,1,M,0,1,English,Maltese,,,,,1,True,1,0,Western,14,13,,0.523809524,,,,,False,MLT
2026,Moldova,"Viva, Moldova!",Satoshi,,,,,16,1,,1.0,,,1.0,1,,1,M,0,1,Romanian,English,Spanish,French,Hawaiian,Italian,1,False,0,0,Eastern,13,4,,0.65,,,,,False,MDA
2026,Montenegro,Nova zora,Tamara Zivkovic,,,,,,0,,1.0,,,8.0,1,,1,F,0,1,Montenegrin,,,,,,0,True,0,1,Southern,11,20,,0.153846154,,,,,False,MNE
2026,Norway,Ya Ya Ya,Jonas Lovv,,,,,23,1,,2.0,,,15.0,1,,1,M,0,1,English,,,,,,0,False,0,1,Northern,25,5,,0.857142857,,,,,False,NOR
