country,prob_mean,ci80_lo,ci80_hi,ci50_lo,ci50_hi
Finland,0.9544224473188305,0.9109992278993707,0.9953328543248504,0.9706618126267406,0.9943412589253949
Greece,0.9203887247778777,0.7944926755674597,0.9936786107200529,0.9403970358200185,0.9902710792456463
Australia,0.9170107170737816,0.8013308716999018,0.9936999455907252,0.936099458837995,0.9901896154054408
Israel,0.8905259612558467,0.6093111145765446,0.9948507491414962,0.9359313717087253,0.9928693978486977
France,0.8332950733208138,0.47136863492965947,0.9903155638088493,0.7978010807858119,0.9811802262537603
Italy,0.8131225658252533,0.34363713361445103,0.9922653155384787,0.7594277451150634,0.9832164549541148
Romania,0.7928497882231056,0.30801174248539953,0.9908074297019612,0.7118694671653801,0.9786089821412655
Sweden,0.7667576125120695,0.23082857622068015,0.9868907298697179,0.6692103355516742,0.9713441441863389
Denmark,0.7352163348805709,0.1905627336773912,0.9908521010607837,0.5535671321724979,0.9743926416852641
Bulgaria,0.6671506318231275,0.09863437688840955,0.9847719675212259,0.4038463400235802,0.9538944315026081
Ukraine,0.623198442423147,0.07766883221972143,0.9769675124867773,0.31240601701283627,0.9362890700761336
Malta,0.6134346366130731,0.06690674094050056,0.9771617313625256,0.3139605213355323,0.9241253345528679
Croatia,0.46252012887846955,0.028211589416524203,0.9322716891240055,0.12037305543976236,0.7971566048760934
Switzerland,0.33221605544585553,0.016259504219287173,0.8293593564411194,0.05171306074359798,0.5915224337217446
Azerbaijan,0.3266416767039625,0.015752933240808027,0.8499636341171646,0.05108372769141129,0.591924439775238
Georgia,0.276744979289954,0.015119237878238273,0.7578806297596732,0.04312811181657251,0.4560552716600018
Moldova,0.2687898705737511,0.009775125408446645,0.7977300015724714,0.026777614926441196,0.4712169147569796
Portugal,0.24529165540855888,0.008944524670178743,0.7419338339958844,0.02372467470354658,0.3943708821054962
Cyprus,0.22775947811829012,0.008693232115843563,0.675150493324706,0.026401752184463407,0.35862721632675243
Estonia,0.22206330576736494,0.005970687241251498,0.7106696686720599,0.01752762126381522,0.3474295677969441
Armenia,0.2106004528292601,0.006531690179497872,0.7194004630912972,0.01686627614739499,0.30110405484897396
Czech Republic,0.2075204631704387,0.004778609654004728,0.6851756471747484,0.013515037520601963,0.3288222546341457
Luxembourg,0.19259187573351455,0.004481675323906242,0.6531867098699562,0.01344738326896084,0.27854411715730387
Montenegro,0.17760876234884682,0.004373935961506152,0.6215873799252087,0.011712377677526748,0.24243248018265676
Austria,0.1339324609888251,0.0024123469328997003,0.4643321987863398,0.00576359733870199,0.16131628960763505
United Kingdom,0.13290573225408708,0.0035209702056023667,0.4696170466298584,0.009603721245130745,0.1446191094992071
Serbia,0.1255131472189373,0.0045257505294064885,0.3950170622019978,0.010178461978834366,0.13706820005295617
San Marino,0.11133006498429661,0.0033008948683524776,0.3505985762051968,0.007988263503871057,0.10285745034666927
Latvia,0.09299160169041604,0.0022848904784016064,0.2911207650537084,0.004802851379808635,0.07946155486024417
Poland,0.08346323828373062,0.002924117716623197,0.2567848830227783,0.00619113913343998,0.0689351499845637
Albania,0.05619270935616811,0.0027269108911273784,0.15315211538814394,0.005152226238305735,0.0408109645491836
Norway,0.041180680014481365,0.002092306002274673,0.0914554768703382,0.003801685557000491,0.028689986504134495
Belgium,0.03236909984322405,0.001959119829809143,0.059296579230302765,0.0030078820200863704,0.018620961130280195
Lithuania,0.013389503898109013,0.0016459703933523618,0.02323933360432841,0.0021954909305563052,0.00847974728304111
Germany,0.011471651478324305,0.0015403194564252377,0.019902487138581636,0.001988455044034869,0.008303798182550462
