country,prob_mean,ci80_lo,ci80_hi,ci50_lo,ci50_hi
Greece,0.917472779750824,0.853917121887207,0.9642232060432434,0.8984929919242859,0.9516092538833618
Finland,0.9126378297805786,0.8400112390518188,0.9646384716033936,0.8913041353225708,0.9518392086029053
France,0.8764882683753967,0.7770789861679077,0.9510558247566223,0.8419235348701477,0.930907130241394
Sweden,0.869888424873352,0.7642572522163391,0.949588418006897,0.8350785970687866,0.9280080795288086
Israel,0.8579950332641602,0.7362133264541626,0.9486125707626343,0.8208341598510742,0.9287015199661255
Australia,0.8140743374824524,0.657185971736908,0.9279741644859314,0.753433883190155,0.9006154537200928
Denmark,0.7936254143714905,0.6174843907356262,0.9196250438690186,0.7317352890968323,0.8842943906784058
Italy,0.7792781591415405,0.5984582901000977,0.9212508797645569,0.7145287990570068,0.8836007118225098
Ukraine,0.762734591960907,0.5527121424674988,0.9160850644111633,0.687085747718811,0.879253625869751
Romania,0.6541071534156799,0.4070872366428375,0.8697563409805298,0.5346859097480774,0.7997666597366333
Bulgaria,0.5857879519462585,0.3428185284137726,0.8131237030029297,0.4595434069633484,0.7272942066192627
Malta,0.5509989261627197,0.23809608817100525,0.8103685975074768,0.3983819782733917,0.7209493517875671
Croatia,0.5174703598022461,0.2587653398513794,0.7636539936065674,0.379863977432251,0.6717604398727417
Cyprus,0.3981950283050537,0.16867390275001526,0.6598470211029053,0.2699200212955475,0.5258436799049377
Azerbaijan,0.3404291868209839,0.11737227439880371,0.5872917771339417,0.19884972274303436,0.4728185534477234
Switzerland,0.33104342222213745,0.12570518255233765,0.5678790807723999,0.19414663314819336,0.45509353280067444
Czech Republic,0.28169846534729004,0.0969594344496727,0.5137590169906616,0.14903013408184052,0.3903992474079132
Moldova,0.27930179238319397,0.11428126692771912,0.49441465735435486,0.16728615760803223,0.363378643989563
Austria,0.26786646246910095,0.0746963769197464,0.494071900844574,0.1314690262079239,0.38330546021461487
Estonia,0.2490139603614807,0.07833786308765411,0.4751018285751343,0.12843775749206543,0.34635818004608154
United Kingdom,0.2446691244840622,0.08279144018888474,0.4440051019191742,0.133794367313385,0.3214520812034607
Portugal,0.23550371825695038,0.07704474031925201,0.4476113021373749,0.1199883222579956,0.31671142578125
Belgium,0.23512855172157288,0.07519706338644028,0.432400107383728,0.12072503566741943,0.32740694284439087
Georgia,0.22848129272460938,0.09033322334289551,0.39128875732421875,0.13835972547531128,0.29382213950157166
Serbia,0.2284771054983139,0.0837048888206482,0.41351401805877686,0.12498881667852402,0.30200737714767456
Montenegro,0.21292315423488617,0.06265080720186234,0.42382991313934326,0.10227181017398834,0.2899145781993866
Luxembourg,0.2071932703256607,0.06976304948329926,0.3922077715396881,0.1061696857213974,0.2763482630252838
Armenia,0.16874225437641144,0.04992712289094925,0.3305436968803406,0.08017320930957794,0.2169714719057083
Latvia,0.1500927358865738,0.0376964695751667,0.31692785024642944,0.06085798889398575,0.20934508740901947
Germany,0.1310393512248993,0.04850074648857117,0.24054796993732452,0.07082494348287582,0.1682794839143753
San Marino,0.12609438598155975,0.04783259332180023,0.22547344863414764,0.06710855662822723,0.1633477360010147
Albania,0.1256481260061264,0.04841163009405136,0.2269936054944992,0.0701598972082138,0.16360324621200562
Poland,0.12354907393455505,0.04257935285568237,0.23343952000141144,0.06358340382575989,0.15952415764331818
Lithuania,0.10324002057313919,0.03897133469581604,0.18825948238372803,0.05804920941591263,0.12932124733924866
Norway,0.10120858252048492,0.035210270434617996,0.1945461630821228,0.05065907537937164,0.12706482410430908
